,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,Site_10,Site_11,Site_12,Site_13,Site_14,Site_15,Site_16,Site_17,Site_18,Site_19,Site_20,Site_21,Site_22,Site_23,Site_24,Site_25,Site_26,Site_27,Site_28,Site_29,Site_30,Site_31,Site_32,Site_33,Site_34,Site_35,Site_36,Site_37,Site_38,Site_39,Site_40,Site_41,Site_42,Site_43,Site_44,Site_45,Site_46,Site_47,Site_48
2018-11-18,1192.9799999999998,913.6,863.8000000000002,976.05,900.2000000000003,6421.500000000001,335.8,395.7000000000001,884.4999999999999,414.10000000000014,956.3499999999997,1007.6,522.3000000000002,929.4,974.4999999999997,337.50000000000006,349.7,908.3,451.1999999999999,257.3,336.7999999999999,353.9,349.7000000000001,351.80000000000007,854.6100000000001,900.4,48230.0,261750.0,9780.700000000004,1924.3,2470.6,2321.9,4903.299999999998,2992.7,463.96,377.23,184.08,2391.600000000001,149.99999999999997,82720.0,62694.59999999999,100.0,514.14,1815.18,2279.0,1581.0699999999995,776.0000000000001,250.04
2018-11-19,1300.02,1210.5,1081.5600000000004,1328.13,1192.6999999999996,7404.200000000002,828.9,930.0,1204.8,693.4000000000002,1281.5199999999998,1322.2999999999995,813.5000000000001,1142.8000000000004,1292.2,882.7999999999997,786.8,1171.7,888.0,728.4999999999999,913.5000000000003,892.6999999999998,836.7,791.0,1000.93,1169.3000000000004,71720.0,238410.0,18102.6,4328.9,11209.599999999995,6682.2,9848.7,5909.0999999999985,1433.91,974.7400000000004,1366.6500000000008,4406.9000000000015,865.2599999999999,81050.0,65762.7,253.0,1467.8600000000006,2838.47,2400.95,2434.82,2896.99,966.06
2018-11-20,1042.9000000000003,1072.1999999999996,1018.5899999999997,1219.16,1026.3999999999996,6997.199999999999,842.3000000000002,853.0000000000001,1047.9999999999998,729.4000000000002,1124.2499999999998,1160.0999999999995,960.1,1086.4000000000003,1171.0,857.9999999999997,812.2000000000003,1029.0,873.0999999999998,733.2,940.1000000000003,893.3000000000003,857.1,724.0,958.4,1155.4,125530.0,285520.0,17779.299999999992,4795.199999999999,11870.100000000002,5630.3,9301.8,6266.099999999998,2085.86,634.52,1317.920000000001,4792.499999999999,915.5599999999997,56500.0,65525.9,320.0,1738.28,2831.56,2314.07,2635.69,2948.69,1026.62
2018-11-21,1144.2500000000002,1026.1,967.0700000000003,1185.3800000000006,952.9,6103.4,727.2999999999997,434.50000000000006,986.4999999999997,658.6999999999998,1103.5800000000004,1110.6999999999996,659.8999999999997,1067.2,1146.7,704.9,707.3999999999999,1062.2,763.3999999999997,724.2000000000003,772.4,742.0999999999998,831.2999999999997,599.3000000000002,915.9599999999997,1142.5,127110.0,273830.0,17903.099999999995,6527.0,9278.299999999996,6548.299999999997,8994.800000000001,6246.800000000001,1538.0800000000004,686.4100000000002,1406.3100000000006,6455.799999999997,1055.9299999999996,79100.0,65079.89999999999,265.0,1869.6800000000005,2963.070000000001,2635.2499999999995,2307.8,2698.65,930.11
2018-11-22,1207.4799999999998,1022.3000000000003,980.83,1220.23,982.9,4123.9000000000015,625.0999999999998,830.0000000000003,1007.1,555.6,1065.65,1135.4,640.8000000000002,1157.9999999999998,1152.0999999999995,590.9000000000002,594.4999999999999,1094.5000000000002,714.2000000000003,545.0999999999998,619.5,556.4000000000002,595.4,573.8000000000002,1002.16,1179.5999999999995,127380.0,263640.0,17343.3,4241.500000000001,10816.900000000003,7104.099999999998,9287.8,6406.0,1665.1,939.7899999999997,1390.380000000001,4588.9,1286.8700000000003,79760.0,68400.40000000001,256.0,1754.86,2869.69,2602.280000000001,2412.92,2673.57,934.27
2018-11-23,1141.9100000000005,1029.6999999999996,949.8099999999997,1242.0399999999995,982.6000000000003,7206.5,576.6,574.1,981.3999999999997,518.3000000000002,1038.9699999999998,1098.1999999999996,723.6999999999998,1058.9000000000003,1148.9,532.1999999999998,568.9000000000002,1041.2999999999997,618.5,469.00000000000006,569.3000000000002,487.3,508.79999999999984,505.9,939.88,1125.4,106930.0,254100.0,17568.200000000004,3938.099999999999,6735.799999999998,6271.499999999999,8821.399999999998,6037.100000000002,2083.64,844.6999999999997,1182.3900000000006,4222.4,898.1000000000001,83200.0,71599.40000000001,238.0,1551.66,2689.21,2472.74,2677.5699999999993,2400.9,975.1500000000003
2018-11-24,1119.2800000000002,923.3,877.8900000000003,1037.7600000000002,896.6,6541.9000000000015,689.5999999999997,727.6999999999998,885.8000000000002,577.7999999999997,950.96,1004.2,653.6000000000001,981.4,1052.5999999999997,684.1999999999998,672.6999999999998,952.4000000000003,702.8000000000002,574.2,680.5000000000002,665.0,607.8000000000002,610.0,866.5100000000003,958.7999999999997,75090.0,272110.0,13382.2,1870.2,3040.5,2671.600000000001,5572.000000000001,1882.8,442.41,339.74999999999994,216.62,1646.2,129.73000000000002,81790.0,68921.79999999999,137.0,783.9999999999995,1585.9700000000007,2277.93,1968.1500000000005,670.04,223.19
2018-11-25,1140.5099999999995,853.0000000000001,835.58,952.3900000000003,835.6000000000001,6801.799999999998,335.4000000000001,345.9000000000001,855.3000000000003,309.19999999999993,869.5099999999996,961.3,474.4,931.2,929.1999999999997,303.9,311.1,853.3000000000003,357.8,231.90000000000003,292.19999999999993,335.0,376.50000000000006,390.1,881.66,874.1,73930.0,280280.0,13866.7,2090.600000000001,3677.2,2782.9999999999995,4969.500000000001,3079.200000000001,545.8,351.3199999999998,215.01,2666.0,158.42,82650.0,69327.20000000003,97.0,404.33999999999986,1816.92,2270.5999999999995,1659.98,659.37,318.2800000000001
2018-11-26,1166.0199999999995,1047.9,974.45,1176.0299999999995,1056.7000000000003,6924.300000000002,573.1999999999998,573.7,1058.9000000000003,505.3,1078.8100000000004,1154.7000000000005,560.3999999999999,1076.7,1150.4000000000005,504.19999999999993,507.59999999999985,1067.8,554.4,447.8,564.2999999999997,517.2,614.8999999999999,563.0999999999998,972.76,1113.7000000000003,98230.0,233660.0,18537.9,4312.0999999999985,10612.1,5928.300000000002,9074.8,6044.9000000000015,1404.15,745.6100000000001,1441.29,4557.499999999999,898.0400000000002,83560.0,70087.29999999999,220.0,1573.8100000000004,2821.51,2331.61,2245.580000000001,2716.600000000001,1028.1099999999997
2018-11-27,1195.56,1075.1999999999996,1006.25,1168.5299999999995,1018.8,6832.699999999999,745.4999999999999,878.5999999999998,1044.4,758.1999999999998,1080.68,1123.0,759.9999999999999,1078.6999999999996,1120.0,739.7,802.1000000000001,1032.5,865.3,749.4000000000002,808.5000000000001,797.9000000000002,798.7,656.4999999999999,1011.63,1213.2000000000005,122250.0,132130.0,18893.0,4681.300000000001,10822.7,6887.700000000003,9417.999999999998,6190.999999999999,1550.3200000000006,811.9799999999997,1341.5900000000013,5016.699999999999,1038.87,79450.0,54874.8,256.0,1763.3000000000004,2832.68,2345.2,2295.7899999999995,2709.15,1130.64
2018-11-28,1196.5700000000004,1029.4,967.4400000000003,1155.28,1004.1,7483.100000000001,682.1999999999998,651.3,994.1,587.1,1078.6899999999996,1131.7,561.6999999999998,1065.3,1119.4,539.2,682.4,1052.2,700.1,534.6,673.3000000000002,609.0000000000001,622.5000000000001,546.6000000000001,943.94,1097.2,125170.0,251620.0,18709.000000000004,7288.199999999998,10765.6,7143.0999999999985,9702.9,6226.400000000002,1501.9,770.9799999999997,1422.3200000000006,7683.299999999997,1068.8900000000003,84010.0,69755.59999999999,229.0,1627.39,2686.1399999999994,2373.83,2253.7500000000005,2882.1,964.63
2018-11-29,1225.13,1060.8000000000004,999.1700000000003,1218.64,1097.0999999999997,7122.900000000002,589.2,612.5,1051.6,488.60000000000014,1123.8199999999997,1185.9,619.2,1080.1,1187.0,542.6000000000001,586.4000000000002,1134.2000000000005,585.1000000000001,465.0,586.0999999999998,555.6,521.8999999999999,563.3999999999999,992.08,1175.8,101130.0,343090.0,16811.000000000004,4943.000000000001,10772.0,6250.899999999999,9221.799999999996,5929.1,1526.0099999999993,773.5700000000003,1418.4000000000005,5425.2,1035.85,82390.0,68375.1,228.0,1545.4400000000005,2671.0000000000005,2359.3100000000004,2325.42,2707.0,721.38
2018-11-30,1205.33,1058.3000000000004,978.1400000000003,1185.6699999999996,1078.6999999999996,6954.099999999998,511.9,606.4000000000002,1054.3000000000004,483.2,1097.91,1191.3999999999996,544.5000000000001,1076.7,1174.2000000000005,522.2999999999998,537.7,1133.0,568.2,469.6,524.2,501.1999999999999,484.8,428.00000000000017,1004.95,1124.8999999999996,95420.0,302580.0,17482.300000000007,4208.4000000000015,7501.299999999998,6052.8,9482.9,5936.4,1395.2199999999998,714.75,1037.27,4439.800000000001,1011.6099999999997,81390.0,70290.80000000003,238.0,1607.46,2661.9100000000008,2281.67,2264.6600000000008,2601.11,702.2700000000002
2018-12-01,1251.7000000000005,1036.2,951.7399999999997,1165.15,1078.3000000000004,7116.399999999998,713.5,804.4999999999999,1038.6,589.1999999999998,1074.62,1150.3,692.4999999999999,1055.2,1166.7,682.6000000000001,652.4,1060.6,720.7000000000003,659.8000000000002,759.0999999999997,699.8000000000002,659.6000000000001,684.5000000000001,993.72,993.0,77930.0,309890.0,13871.9,2353.2000000000007,2968.5000000000014,3139.9000000000005,5680.399999999999,2309.7000000000007,352.78,373.96,212.65000000000006,2350.100000000001,135.43,82500.0,67943.49999999999,127.0,710.02,1771.47,2401.41,1728.5899999999995,751.9499999999998,243.61
2018-12-02,1127.8399999999995,837.9999999999999,829.1899999999998,950.77,813.9,6349.799999999998,353.5,445.6,822.2,363.4,883.95,929.8,456.8,900.4000000000003,905.3,347.2,384.10000000000014,890.9999999999999,430.8,329.1,384.5999999999999,363.49999999999983,352.09999999999985,364.4,878.98,867.0,69290.0,320910.0,13120.200000000004,1947.2000000000005,2492.3,3278.6999999999994,5552.9000000000015,3332.1000000000013,571.89,386.83999999999986,209.6200000000001,2390.9,209.88,82570.0,67239.4,100.0,422.08,1968.76,2380.9300000000007,1690.49,646.7899999999997,250.71000000000006
2018-12-03,1234.8600000000004,1091.3000000000004,1061.34,1198.33,1056.0000000000002,6776.400000000002,591.8000000000002,642.4,1073.5000000000002,537.8000000000002,1127.39,1166.1000000000004,563.8000000000002,1082.3999999999996,1119.3,570.1,566.0999999999998,1134.4000000000005,661.1000000000001,501.3,638.1999999999998,562.8000000000002,585.8000000000002,545.6999999999998,962.3300000000003,1146.1,87990.0,323590.0,17757.500000000004,3982.7,11033.999999999998,6249.9000000000015,9455.999999999998,6219.499999999997,1657.84,813.0700000000003,1441.7800000000009,4225.5,838.7800000000003,83190.0,74752.4,218.0,1784.0400000000006,2866.51,2240.4500000000007,2409.48,2640.409999999999,816.23
